time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-11T21:24:23.750Z,-21.66,168.7341,10,4.8,mb,,61,2.166,0.98,us,us2000j34s,2019-04-02T20:52:15.040Z,"88km E of Tadine, New Caledonia",earthquake,9.6,1.8,0.081,47,reviewed,us,us
2019-01-11T19:33:34.980Z,55.0239,164.6495,10,4.6,mb,,125,4.066,0.66,us,us2000j33t,2019-04-02T20:52:14.040Z,"87km WSW of Nikol'skoye, Russia",earthquake,8.6,1.9,0.073,60,reviewed,us,us
2019-01-11T19:12:00.010Z,2.1705,126.7096,68.22,4.5,mb,,169,1.536,0.89,us,us2000j8w8,2019-04-02T20:53:35.040Z,"152km WNW of Tobelo, Indonesia",earthquake,8.2,11,0.27,5,reviewed,us,us
2019-01-11T19:05:29.180Z,-3.3932,101.2762,39,5.4,mww,,14,1.931,0.92,us,us2000j337,2019-04-02T20:52:13.040Z,"118km WNW of Bengkulu, Indonesia",earthquake,6.2,1.9,0.073,18,reviewed,us,us
2019-01-11T19:04:58.740Z,-18.1651,-178.1768,539.93,4.7,mb,,75,3.613,1.07,us,us2000j33a,2019-04-02T20:52:13.040Z,"280km NNE of Ndoi Island, Fiji",earthquake,8.1,7.9,0.098,34,reviewed,us,us
2019-01-11T12:17:30.010Z,-52.4508,17.9397,10,4.6,mb,,149,20.111,1.14,us,us2000j8vs,2019-04-02T20:53:34.040Z,"Southwest of Africa",earthquake,14,2,0.273,4,reviewed,us,us
2019-01-11T10:47:22.490Z,-3.9716,130.0359,60.46,4.6,mb,,39,2.443,0.9,us,us2000j2xn,2019-04-02T20:52:09.040Z,"142km ESE of Amahai, Indonesia",earthquake,3.5,7.3,0.069,63,reviewed,us,us
2019-01-11T09:01:25.930Z,2.7148,127.2509,35,4.8,mb,,106,1.933,1.09,us,us2000j2w2,2019-04-02T20:52:08.040Z,"137km NW of Tobelo, Indonesia",earthquake,7.5,2,0.085,43,reviewed,us,us
2019-01-11T05:58:12.510Z,-21.4205,-173.9721,10,5.3,mww,,113,4.456,1.17,us,us2000j2uw,2019-04-02T20:52:05.040Z,"101km E of `Ohonua, Tonga",earthquake,10.1,1.8,0.069,20,reviewed,us,us
2019-01-11T03:35:31.080Z,2.4011,126.9031,35,4.5,mb,,63,1.683,1.07,us,us2000j2uc,2019-04-02T20:52:04.040Z,"143km WNW of Tobelo, Indonesia",earthquake,8.6,2,0.125,19,reviewed,us,us
2019-01-11T02:52:14.360Z,-26.9635,-176.1522,10,4.9,mb,,178,2.762,1.21,us,us2000j8vp,2019-04-02T20:53:33.040Z,"South of the Fiji Islands",earthquake,8.9,1.9,0.15,14,reviewed,us,us
2019-01-11T02:33:38.440Z,61.4708,-149.8991,49.8,4.6,ml,,,,1,ak,ak019i8au86,2019-12-16T03:38:04.426Z,"6km SSE of Big Lake, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-01-11T02:29:01.810Z,-21.8103,-174.5563,35,4.7,mb,,145,5.122,0.41,us,us2000j8vn,2019-04-02T20:53:33.040Z,"66km SE of `Ohonua, Tonga",earthquake,13.2,2,0.147,14,reviewed,us,us
2019-01-11T02:10:03.360Z,-26.7842,-176.106,10,4.9,mb,,144,2.933,0.9,us,us2000j8vf,2019-04-02T20:53:31.040Z,"South of the Fiji Islands",earthquake,13.7,1.9,0.177,11,reviewed,us,us
2019-01-11T02:04:00.090Z,-27.0705,-176.0543,10,4.9,mb,,124,2.726,0.9,us,us2000j2tt,2019-04-02T20:52:03.040Z,"Kermadec Islands region",earthquake,7.6,1.7,0.125,20,reviewed,us,us
2019-01-11T01:53:14.730Z,-27.0308,-176.1351,10,4.8,mb,,122,2.715,0.9,us,us2000j8vd,2019-04-02T20:53:31.040Z,"Kermadec Islands region",earthquake,8.7,1.7,0.098,33,reviewed,us,us
2019-01-11T01:45:28.830Z,-23.9879,-175.8225,35,4.9,mb,,69,7.347,0.87,us,us2000j8vm,2019-04-02T20:53:33.040Z,"Tonga region",earthquake,12.3,2,0.162,14,reviewed,us,us
2019-01-11T01:44:24.390Z,-26.9036,-176.1001,10,4.8,mb,,124,2.837,1.25,us,us2000j8vc,2019-04-02T20:53:31.040Z,"South of the Fiji Islands",earthquake,8,1.9,0.116,23,reviewed,us,us
2019-01-10T20:41:00.900Z,44.9045,151.8082,10,4.7,mb,,210,6.636,0.73,us,us2000j8uk,2019-04-02T20:53:29.040Z,"East of the Kuril Islands",earthquake,8.1,2,0.183,9,reviewed,us,us
2019-01-10T20:26:13.080Z,-27.1889,-176.2623,10,4.9,mb,,125,2.521,1.33,us,us2000j8uj,2019-04-02T20:53:29.040Z,"280km NE of Raoul Island, New Zealand",earthquake,14.6,1.9,0.117,25,reviewed,us,us
2019-01-10T19:50:45.070Z,-26.7845,-175.755,10,4.7,mb,,144,3.114,0.98,us,us2000j8uh,2019-04-02T20:53:28.040Z,"South of Tonga",earthquake,11.5,1.9,0.208,7,reviewed,us,us
2019-01-10T19:26:31.270Z,-30.3998,-177.7543,35,4.9,mb,,180,1.16,1.04,us,us2000j8ug,2019-04-02T20:53:28.040Z,"126km S of Raoul Island, New Zealand",earthquake,10.3,1.9,0.125,20,reviewed,us,us
2019-01-10T18:24:41.280Z,34.5801,26.6262,36.37,5,mb,,43,1.059,1.2,us,us2000j2mg,2019-04-02T20:51:02.040Z,"76km SSE of Palaikastron, Greece",earthquake,6.4,6.5,0.05,129,reviewed,us,us
2019-01-10T17:58:28.840Z,-17.1478,167.1508,10,4.8,mb,,148,4.943,0.63,us,us2000j2lt,2019-04-02T20:52:00.040Z,"117km SSW of Lakatoro, Vanuatu",earthquake,12.6,1.6,0.124,20,reviewed,us,us
2019-01-10T17:56:40.760Z,-26.9697,-176.3356,10,5.1,mb,,129,2.668,0.89,us,us2000j8un,2019-04-02T20:53:30.040Z,"297km NNE of Raoul Island, New Zealand",earthquake,12.5,1.8,0.087,43,reviewed,us,us
2019-01-10T17:30:14.200Z,37.3192,20.6178,10,4.8,mb,,48,1.052,1.2,us,us2000j2l9,2019-04-02T20:51:59.040Z,"48km SSW of Lithakia, Greece",earthquake,4.9,1.9,0.095,34,reviewed,us,us
2019-01-10T17:15:17.740Z,-22.5275,-175.3964,35,4.5,mb,,123,6.161,1.22,us,us2000j8u7,2019-04-02T20:53:27.040Z,"140km SSW of `Ohonua, Tonga",earthquake,14.3,2,0.241,10,reviewed,us,us
2019-01-10T17:12:00.050Z,-27.1754,-176.1577,10,5,mb,,121,2.587,1.27,us,us2000j2lk,2019-04-02T20:52:00.040Z,"288km NE of Raoul Island, New Zealand",earthquake,11,1.9,0.108,27,reviewed,us,us
2019-01-10T17:00:37.630Z,-26.904,-175.5446,10,5.8,mww,,100,3.142,0.96,us,us2000j2kv,2019-04-02T20:51:01.040Z,"South of Tonga",earthquake,10.9,1.9,0.042,54,reviewed,us,us
2019-01-10T17:00:14.270Z,-21.8157,168.8301,10,5.1,mb,,66,2.23,1.33,us,us2000j8u8,2019-04-02T20:53:27.040Z,"102km ESE of Tadine, New Caledonia",earthquake,11.1,1.8,0.084,46,reviewed,us,us
2019-01-10T16:15:52.700Z,-16.2769,-176.4044,368.42,4.7,mb,,65,2.564,0.97,us,us2000j2jd,2019-04-02T20:51:59.040Z,"286km W of Hihifo, Tonga",earthquake,9.3,5.9,0.055,101,reviewed,us,us
2019-01-10T07:10:53.060Z,53.7856,158.9296,10,4.6,mb,,117,0.781,0.65,us,us2000j2f7,2019-04-02T20:51:54.040Z,"75km NNE of Yelizovo, Russia",earthquake,8.3,1.9,0.059,87,reviewed,us,us
